queue_rank,case_id,dice,iou,category,primary_group,suggested_action,review_decision,corrected_mask_path,reviewer,reviewed_at,notes,case_panel,original_image,gt_overlay,prediction_overlay,comparison_overlay
1,tn3k_roi_0005,0.3877071313402102,0.2404694202130223,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0005_panel.png,cases/tn3k_roi_0005/tn3k_roi_0005_original.png,cases/tn3k_roi_0005/tn3k_roi_0005_gt_overlay.png,cases/tn3k_roi_0005/tn3k_roi_0005_prediction_overlay.png,cases/tn3k_roi_0005/tn3k_roi_0005_comparison_overlay.png
2,tn3k_roi_0335,0.45862706681559334,0.297544518229012,location_shift,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0335_panel.png,cases/tn3k_roi_0335/tn3k_roi_0335_original.png,cases/tn3k_roi_0335/tn3k_roi_0335_gt_overlay.png,cases/tn3k_roi_0335/tn3k_roi_0335_prediction_overlay.png,cases/tn3k_roi_0335/tn3k_roi_0335_comparison_overlay.png
3,tn3k_roi_0430,0.46352815190081964,0.3016834655800987,location_shift,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0430_panel.png,cases/tn3k_roi_0430/tn3k_roi_0430_original.png,cases/tn3k_roi_0430/tn3k_roi_0430_gt_overlay.png,cases/tn3k_roi_0430/tn3k_roi_0430_prediction_overlay.png,cases/tn3k_roi_0430/tn3k_roi_0430_comparison_overlay.png
4,tn3k_roi_0358,0.4735823685677741,0.3102574019165485,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,,panels/tn3k_roi_0358_panel.png,cases/tn3k_roi_0358/tn3k_roi_0358_original.png,cases/tn3k_roi_0358/tn3k_roi_0358_gt_overlay.png,cases/tn3k_roi_0358/tn3k_roi_0358_prediction_overlay.png,cases/tn3k_roi_0358/tn3k_roi_0358_comparison_overlay.png
5,tn3k_roi_0146,0.49050856120623565,0.3249495483049585,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0146_panel.png,cases/tn3k_roi_0146/tn3k_roi_0146_original.png,cases/tn3k_roi_0146/tn3k_roi_0146_gt_overlay.png,cases/tn3k_roi_0146/tn3k_roi_0146_prediction_overlay.png,cases/tn3k_roi_0146/tn3k_roi_0146_comparison_overlay.png
6,tn3k_roi_0537,0.49756025066257153,0.33116818886214516,location_shift,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0537_panel.png,cases/tn3k_roi_0537/tn3k_roi_0537_original.png,cases/tn3k_roi_0537/tn3k_roi_0537_gt_overlay.png,cases/tn3k_roi_0537/tn3k_roi_0537_prediction_overlay.png,cases/tn3k_roi_0537/tn3k_roi_0537_comparison_overlay.png
7,tn3k_roi_0223,0.5048023229841412,0.33761577532118314,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0223_panel.png,cases/tn3k_roi_0223/tn3k_roi_0223_original.png,cases/tn3k_roi_0223/tn3k_roi_0223_gt_overlay.png,cases/tn3k_roi_0223/tn3k_roi_0223_prediction_overlay.png,cases/tn3k_roi_0223/tn3k_roi_0223_comparison_overlay.png
8,tn3k_roi_0541,0.5059482692455292,0.3386417343059694,boundary_or_shape_mismatch,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,,panels/tn3k_roi_0541_panel.png,cases/tn3k_roi_0541/tn3k_roi_0541_original.png,cases/tn3k_roi_0541/tn3k_roi_0541_gt_overlay.png,cases/tn3k_roi_0541/tn3k_roi_0541_prediction_overlay.png,cases/tn3k_roi_0541/tn3k_roi_0541_comparison_overlay.png
9,tn3k_roi_0192,0.5067040764021906,0.33931926578985405,location_shift,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0192_panel.png,cases/tn3k_roi_0192/tn3k_roi_0192_original.png,cases/tn3k_roi_0192/tn3k_roi_0192_gt_overlay.png,cases/tn3k_roi_0192/tn3k_roi_0192_prediction_overlay.png,cases/tn3k_roi_0192/tn3k_roi_0192_comparison_overlay.png
10,tn3k_roi_0216,0.5179320293890697,0.34946577327055417,location_shift,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0216_panel.png,cases/tn3k_roi_0216/tn3k_roi_0216_original.png,cases/tn3k_roi_0216/tn3k_roi_0216_gt_overlay.png,cases/tn3k_roi_0216/tn3k_roi_0216_prediction_overlay.png,cases/tn3k_roi_0216/tn3k_roi_0216_comparison_overlay.png
11,tn3k_roi_0372,0.5420560747663551,0.3717948717948718,undersegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,,panels/tn3k_roi_0372_panel.png,cases/tn3k_roi_0372/tn3k_roi_0372_original.png,cases/tn3k_roi_0372/tn3k_roi_0372_gt_overlay.png,cases/tn3k_roi_0372/tn3k_roi_0372_prediction_overlay.png,cases/tn3k_roi_0372/tn3k_roi_0372_comparison_overlay.png
12,tn3k_roi_0512,0.5614315705288413,0.390271021542738,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,,panels/tn3k_roi_0512_panel.png,cases/tn3k_roi_0512/tn3k_roi_0512_original.png,cases/tn3k_roi_0512/tn3k_roi_0512_gt_overlay.png,cases/tn3k_roi_0512/tn3k_roi_0512_prediction_overlay.png,cases/tn3k_roi_0512/tn3k_roi_0512_comparison_overlay.png
13,tn3k_roi_0429,0.6039601218499031,0.4326238321001369,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0429_panel.png,cases/tn3k_roi_0429/tn3k_roi_0429_original.png,cases/tn3k_roi_0429/tn3k_roi_0429_gt_overlay.png,cases/tn3k_roi_0429/tn3k_roi_0429_prediction_overlay.png,cases/tn3k_roi_0429/tn3k_roi_0429_comparison_overlay.png
14,tn3k_roi_0213,0.6404961039455886,0.4711248756288625,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,,panels/tn3k_roi_0213_panel.png,cases/tn3k_roi_0213/tn3k_roi_0213_original.png,cases/tn3k_roi_0213/tn3k_roi_0213_gt_overlay.png,cases/tn3k_roi_0213/tn3k_roi_0213_prediction_overlay.png,cases/tn3k_roi_0213/tn3k_roi_0213_comparison_overlay.png
15,tn3k_roi_0012,0.6434858387799565,0.4743672105871772,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0012_panel.png,cases/tn3k_roi_0012/tn3k_roi_0012_original.png,cases/tn3k_roi_0012/tn3k_roi_0012_gt_overlay.png,cases/tn3k_roi_0012/tn3k_roi_0012_prediction_overlay.png,cases/tn3k_roi_0012/tn3k_roi_0012_comparison_overlay.png
16,tn3k_roi_0170,0.6645466532226789,0.4976187710535486,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0170_panel.png,cases/tn3k_roi_0170/tn3k_roi_0170_original.png,cases/tn3k_roi_0170/tn3k_roi_0170_gt_overlay.png,cases/tn3k_roi_0170/tn3k_roi_0170_prediction_overlay.png,cases/tn3k_roi_0170/tn3k_roi_0170_comparison_overlay.png
17,tn3k_roi_0096,0.6661036218937795,0.49936684200272746,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,,panels/tn3k_roi_0096_panel.png,cases/tn3k_roi_0096/tn3k_roi_0096_original.png,cases/tn3k_roi_0096/tn3k_roi_0096_gt_overlay.png,cases/tn3k_roi_0096/tn3k_roi_0096_prediction_overlay.png,cases/tn3k_roi_0096/tn3k_roi_0096_comparison_overlay.png
18,tn3k_roi_0354,0.668202588027493,0.50172990427863,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,,panels/tn3k_roi_0354_panel.png,cases/tn3k_roi_0354/tn3k_roi_0354_original.png,cases/tn3k_roi_0354/tn3k_roi_0354_gt_overlay.png,cases/tn3k_roi_0354/tn3k_roi_0354_prediction_overlay.png,cases/tn3k_roi_0354/tn3k_roi_0354_comparison_overlay.png
19,tn3k_roi_0135,0.6772218846352935,0.5119693747341557,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,,panels/tn3k_roi_0135_panel.png,cases/tn3k_roi_0135/tn3k_roi_0135_original.png,cases/tn3k_roi_0135/tn3k_roi_0135_gt_overlay.png,cases/tn3k_roi_0135/tn3k_roi_0135_prediction_overlay.png,cases/tn3k_roi_0135/tn3k_roi_0135_comparison_overlay.png
20,tn3k_roi_0565,0.6840696963950867,0.5198373306862212,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,,panels/tn3k_roi_0565_panel.png,cases/tn3k_roi_0565/tn3k_roi_0565_original.png,cases/tn3k_roi_0565/tn3k_roi_0565_gt_overlay.png,cases/tn3k_roi_0565/tn3k_roi_0565_prediction_overlay.png,cases/tn3k_roi_0565/tn3k_roi_0565_comparison_overlay.png
