epoch,train_loss,val_dice,val_iou
1,1.075335,0.460867,0.330474
2,0.860581,0.547747,0.406206
3,0.792441,0.516194,0.378162
4,0.736141,0.613609,0.473357
5,0.696503,0.605109,0.468326
6,0.664822,0.561603,0.42779
7,0.62887,0.646338,0.505733
8,0.606607,0.561421,0.437854
9,0.587692,0.618177,0.482683
10,0.570647,0.681151,0.548749
11,0.549947,0.664269,0.529011
12,0.542282,0.671894,0.53916
13,0.539923,0.693351,0.561571
14,0.515075,0.669241,0.536085
15,0.501514,0.70551,0.576197
16,0.494506,0.681321,0.54906
17,0.484839,0.690656,0.560142
18,0.466641,0.693239,0.564109
19,0.455681,0.692899,0.565459
20,0.440144,0.680415,0.551536
21,0.430217,0.678925,0.550946
22,0.414375,0.694302,0.567894
23,0.404859,0.693902,0.568575
24,0.380003,0.620935,0.50249
25,0.381737,0.658725,0.533151
26,0.35351,0.697942,0.569182
27,0.329679,0.680073,0.550251
28,0.313466,0.695654,0.568188
29,0.299696,0.688486,0.555957
30,0.287978,0.68428,0.55227
